onset	duration	trial_type	response_value	stim_file
2.765	106.329	video	n/a	task-alignvideo/ses-01_run-03_order-01_content-huggingpets.mp4
110.645	1.513	rating_relevance	34.69	n/a
115.864	1.716	rating_happy	93.96	n/a
122.583	3.417	rating_sad	0.0	n/a
125.684	1.5	rating_afraid	0.0	n/a
130.236	1.033	rating_disgusted	0.0	n/a
138.039	3.821	rating_warm	98.44	n/a
141.64	2.402	rating_engaged	74.9	n/a
144.275	59.188	video	n/a	task-alignvideo/ses-01_run-03_order-02_content-bestfriendsweating.mp4
204.697	1.196	rating_relevance	0.0	n/a
209.915	1.399	rating_happy	0.0	n/a
215.684	2.15	rating_sad	2.4	n/a
219.836	1.283	rating_afraid	0.0	n/a
225.971	2.405	rating_disgusted	100.0	n/a
232.907	4.32	rating_warm	1.77	n/a
236.259	2.649	rating_engaged	2.29	n/a
238.64	20.944	video	n/a	task-alignvideo/ses-01_run-03_order-03_content-cupstacking.mp4
261.835	2.221	rating_relevance	18.02	n/a
267.62	2.984	rating_happy	67.19	n/a
271.622	1.971	rating_sad	0.42	n/a
276.39	1.719	rating_afraid	0.0	n/a
280.959	1.265	rating_disgusted	0.0	n/a
287.411	2.7	rating_warm	77.08	n/a
292.596	2.867	rating_engaged	84.69	n/a
294.761	136.722	video	n/a	task-alignvideo/ses-01_run-03_order-04_content-dancewithdeath.mp4
433.816	2.299	rating_relevance	84.48	n/a
438.267	1.733	rating_happy	65.1	n/a
443.052	1.499	rating_sad	65.21	n/a
448.604	2.038	rating_afraid	46.56	n/a
453.906	2.32	rating_disgusted	21.46	n/a
460.042	3.432	rating_warm	25.73	n/a
464.144	2.516	rating_engaged	94.17	n/a
