onset	duration	trial_type	response_value	stim_file
2.766	105.98	video	n/a	task-alignvideo/ses-03_run-03_order-01_content-normativeprosocial2.mp4
113.281	n/a	rating_relevance	n/a	n/a
118.316	n/a	rating_happy	n/a	n/a
123.351	n/a	rating_sad	n/a	n/a
128.37	n/a	rating_afraid	n/a	n/a
133.405	n/a	rating_disgusted	n/a	n/a
138.44	n/a	rating_warm	n/a	n/a
143.492	n/a	rating_engaged	n/a	n/a
144.025	74.832	video	n/a	task-alignvideo/ses-03_run-03_order-02_content-normativeprosocial1.mp4
223.405	n/a	rating_relevance	n/a	n/a
228.44	n/a	rating_happy	n/a	n/a
233.476	n/a	rating_sad	n/a	n/a
238.511	n/a	rating_afraid	n/a	n/a
243.546	n/a	rating_disgusted	n/a	n/a
248.581	n/a	rating_warm	n/a	n/a
253.616	n/a	rating_engaged	n/a	n/a
254.148	196.927	video	n/a	task-alignvideo/ses-03_run-03_order-03_content-stardust.mp4
455.625	n/a	rating_relevance	n/a	n/a
460.66	n/a	rating_happy	n/a	n/a
465.679	n/a	rating_sad	n/a	n/a
470.714	n/a	rating_afraid	n/a	n/a
475.749	n/a	rating_disgusted	n/a	n/a
480.784	n/a	rating_warm	n/a	n/a
485.803	n/a	rating_engaged	n/a	n/a
