onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	trial_index
14.82	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/3b_story.txt	1
25.791	1.558	tomsaxe	response	falsebelief	correct	task-tomsaxe/3b_question.txt	1
44.314	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/3p_story.txt	2
55.302	1.985	tomsaxe	response	falsephoto	correct	task-tomsaxe/3p_question.txt	2
73.825	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/10p_story.txt	3
84.813	1.631	tomsaxe	response	falsephoto	correct	task-tomsaxe/10p_question.txt	3
103.336	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/10b_story.txt	4
114.324	1.809	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/10b_question.txt	4
132.847	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/1p_story.txt	5
143.835	2.263	tomsaxe	response	falsephoto	correct	task-tomsaxe/1p_question.txt	5
162.358	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/1b_story.txt	6
173.346	1.641	tomsaxe	response	falsebelief	correct	task-tomsaxe/1b_question.txt	6
191.869	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/7p_story.txt	7
202.857	1.218	tomsaxe	response	falsephoto	correct	task-tomsaxe/7p_question.txt	7
221.38	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/7b_story.txt	8
232.368	3.401	tomsaxe	response	falsebelief	incorrect	task-tomsaxe/7b_question.txt	8
250.891	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/5b_story.txt	9
261.879	1.448	tomsaxe	response	falsebelief	correct	task-tomsaxe/5b_question.txt	9
280.402	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/5p_story.txt	10
291.39	2.667	tomsaxe	response	falsephoto	correct	task-tomsaxe/5p_question.txt	10
309.913	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/4p_story.txt	11
320.917	1.563	tomsaxe	response	falsephoto	incorrect	task-tomsaxe/4p_question.txt	11
339.441	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/4b_story.txt	12
350.428	2.909	tomsaxe	response	falsebelief	correct	task-tomsaxe/4b_question.txt	12
368.952	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/9p_story.txt	13
379.939	1.805	tomsaxe	response	falsephoto	correct	task-tomsaxe/9p_question.txt	13
398.463	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/9b_story.txt	14
409.45	3.198	tomsaxe	response	falsebelief	correct	task-tomsaxe/9b_question.txt	14
427.974	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/8b_story.txt	15
438.961	2.397	tomsaxe	response	falsebelief	correct	task-tomsaxe/8b_question.txt	15
457.485	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/8p_story.txt	16
468.472	1.748	tomsaxe	response	falsephoto	correct	task-tomsaxe/8p_question.txt	16
486.996	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/6p_story.txt	17
497.983	3.088	tomsaxe	response	falsephoto	correct	task-tomsaxe/6p_question.txt	17
516.507	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/6b_story.txt	18
527.494	2.394	tomsaxe	response	falsebelief	correct	task-tomsaxe/6b_question.txt	18
546.018	11.0	tomsaxe	stimulus	falsephoto	n/a	task-tomsaxe/2p_story.txt	19
557.005	2.334	tomsaxe	response	falsephoto	correct	task-tomsaxe/2p_question.txt	19
575.529	11.0	tomsaxe	stimulus	falsebelief	n/a	task-tomsaxe/2b_story.txt	20
586.516	1.796	tomsaxe	response	falsebelief	correct	task-tomsaxe/2b_question.txt	20
