onset	duration	trial_type	response_value	stim_file_TODO
2.768	148.061	video	n/a	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
152.679	1.802	rating_relevance	11.35	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
158.381	2.483	rating_happy	75.31	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
161.815	0.899	rating_sad	2.08	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
167.501	1.569	rating_afraid	1.77	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
172.436	1.482	rating_disgusted	2.29	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
178.588	2.616	rating_warm	84.06	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
183.69	2.699	rating_engaged	85.52	task-alignvideo/ses-03_run-02_order-01_content-planetearth.mp4
186.028	86.6	video	n/a	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
274.958	2.292	rating_relevance	50.31	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
280.21	2.532	rating_happy	41.15	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
284.011	1.316	rating_sad	34.9	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
292.047	4.334	rating_afraid	0.73	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
294.965	2.233	rating_disgusted	37.6	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
299.95	2.2	rating_warm	79.06	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
307.103	4.334	rating_engaged	57.08	task-alignvideo/ses-03_run-02_order-02_content-normativeprosocial3.mp4
307.801	196.694	video	n/a	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
507.594	3.064	rating_relevance	87.5	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
512.713	3.167	rating_happy	28.33	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
516.731	2.166	rating_sad	0.73	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
520.799	1.216	rating_afraid	2.4	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
525.901	1.299	rating_disgusted	1.46	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
532.67	3.05	rating_warm	1.56	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
537.289	2.656	rating_engaged	36.67	task-alignvideo/ses-03_run-02_order-03_content-heartstop.mp4
539.671	35.166	video	n/a	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
578.804	3.938	rating_relevance	39.69	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
581.905	2.022	rating_happy	40.94	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
586.491	1.587	rating_sad	2.6	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
591.959	2.035	rating_afraid	2.19	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
596.744	1.799	rating_disgusted	0.0	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
603.847	3.884	rating_warm	76.04	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
607.398	2.416	rating_engaged	10.52	task-alignvideo/ses-03_run-02_order-04_content-beachsunrise.mp4
