onset	duration	trial_type	response_value	stim_file
2.778	211.373	video	n/a	task-alignvideo/ses-03_run-01_order-01_content-mountainbike.mp4
218.736	n/a	rating_relevance	n/a	n/a
223.771	n/a	rating_happy	n/a	n/a
228.806	n/a	rating_sad	n/a	n/a
233.842	n/a	rating_afraid	n/a	n/a
238.877	n/a	rating_disgusted	n/a	n/a
243.912	n/a	rating_warm	n/a	n/a
248.947	n/a	rating_engaged	n/a	n/a
249.548	20.941	video	n/a	task-alignvideo/ses-03_run-01_order-02_content-carflood.mp4
275.024	n/a	rating_relevance	n/a	n/a
280.059	n/a	rating_happy	n/a	n/a
285.094	n/a	rating_sad	n/a	n/a
290.129	n/a	rating_afraid	n/a	n/a
295.164	n/a	rating_disgusted	n/a	n/a
300.183	n/a	rating_warm	n/a	n/a
305.218	n/a	rating_engaged	n/a	n/a
305.771	30.144	video	n/a	task-alignvideo/ses-03_run-01_order-03_content-fireplace.mp4
340.465	n/a	rating_relevance	n/a	n/a
345.5	n/a	rating_happy	n/a	n/a
350.535	n/a	rating_sad	n/a	n/a
355.554	n/a	rating_afraid	n/a	n/a
360.572	n/a	rating_disgusted	n/a	n/a
365.591	n/a	rating_warm	n/a	n/a
370.609	n/a	rating_engaged	n/a	n/a
371.158	123.289	video	n/a	task-alignvideo/ses-03_run-01_order-04_content-snakes.mp4
499.007	n/a	rating_relevance	n/a	n/a
504.026	n/a	rating_happy	n/a	n/a
509.061	n/a	rating_sad	n/a	n/a
514.096	n/a	rating_afraid	n/a	n/a
519.131	n/a	rating_disgusted	n/a	n/a
524.15	n/a	rating_warm	n/a	n/a
529.185	n/a	rating_engaged	n/a	n/a
